"Legislaturperiode";"Patei";"Wahlkreis";"Stimmen";"Stimmenprozent"
16;"REP";80;579;0.3
16;"BüSo";80;337;0.2
16;"PSG";80;100;0.1
16;"MLPD";80;37;0.0
16;"SPD";81;50168;32.0
16;"CDU";81;42736;27.3
16;"DIE LINKE";81;9152;5.8
16;"GRÜNE";81;30468;19.4
16;"FDP";81;19341;12.3
16;"NPD";81;980;0.6
16;"REP";81;381;0.2
16;"BüSo";81;231;0.1
16;"PSG";81;60;0.0
16;"MLPD";81;39;0.0
16;"SPD";82;62854;34.5
16;"CDU";82;49847;27.3
16;"DIE LINKE";82;12395;6.8
16;"GRÜNE";82;30703;16.8
16;"FDP";82;18254;10.0
16;"NPD";82;1854;1.0
16;"REP";82;893;0.5
16;"BüSo";82;220;0.1
16;"PSG";82;125;0.1
16;"MLPD";82;64;0.0
16;"SPD";83;48866;34.6
16;"CDU";83;40087;28.4
16;"DIE LINKE";83;12260;8.7
16;"GRÜNE";83;18438;13.1
16;"FDP";83;12035;8.5
16;"NPD";83;2370;1.7
16;"REP";83;1052;0.7
16;"BüSo";83;92;0.1
16;"PSG";83;112;0.1
16;"MLPD";83;172;0.1
16;"SPD";84;60421;37.3
16;"CDU";84;17899;11.0
16;"DIE LINKE";84;33711;20.8
16;"GRÜNE";84;35410;21.8
16;"FDP";84;7402;4.6
16;"NPD";84;1923;1.2
16;"REP";84;415;0.3
16;"BüSo";84;170;0.1
16;"PSG";84;146;0.1
16;"MLPD";84;170;0.1
16;"SPD";85;54938;36.6
16;"CDU";85;22791;15.2
16;"DIE LINKE";85;42675;28.4
16;"GRÜNE";85;12468;8.3
16;"FDP";85;8448;5.6
16;"NPD";85;3549;2.4
16;"REP";85;661;0.4
16;"BüSo";85;395;0.3
16;"PSG";85;179;0.1
16;"MLPD";85;150;0.1
16;"SPD";86;49595;34.1
16;"CDU";86;20499;14.1
16;"DIE LINKE";86;50042;34.4
16;"GRÜNE";86;7588;5.2
16;"FDP";86;7241;4.98
16;"NPD";86;4634;3.2
16;"REP";86;731;0.5
16;"BüSo";86;501;0.3
16;"PSG";86;226;0.2
16;"MLPD";86;163;0.1
16;"SPD";87;50555;34.4
16;"CDU";87;18548;12.6
16;"DIE LINKE";87;52217;35.5
16;"GRÜNE";87;9345;6.4
16;"FDP";87;6909;4.7
16;"NPD";87;4042;2.8
16;"REP";87;631;0.4
16;"BüSo";87;415;0.3
16;"PSG";87;186;0.1
16;"MLPD";87;131;0.1
16;"SPD";88;45300;33.3
16;"CDU";88;44710;32.8
16;"FDP";88;15655;11.5
16;"GRÜNE";88;19566;14.4
16;"DIE LINKE";88;8165;6.0
16;"NPD";88;880;0.6
16;"Die Tierschutzpartei";88;541;0.4
16;"FAMILIE";88;369;0.3
16;"REP";88;218;0.2
16;"PBC";88;71;0.1
16;"MLPD";88;32;0.0
16;"PSG";88;48;0.0
16;"ZENTRUM";88;41;0.0
16;"BüSo";88;53;0.0
16;"SPD";89;71160;41.0
16;"CDU";89;59633;34.3
16;"FDP";89;16243;9.3
16;"GRÜNE";89;10309;5.9
16;"DIE LINKE";89;11003;6.3
16;"NPD";89;1676;1.0
16;"Die Tierschutzpartei";89;941;0.5
16;"FAMILIE";89;818;0.5
16;"REP";89;926;0.5
16;"PBC";89;90;0.1
16;"MLPD";89;37;0.0
16;"PSG";89;76;0.0
16;"ZENTRUM";89;42;0.0
16;"BüSo";89;38;0.0
16;"SPD";90;45723;32.5
16;"CDU";90;60704;43.2
16;"FDP";90;15059;10.7
16;"GRÜNE";90;7250;5.2
16;"DIE LINKE";90;7193;5.1
16;"NPD";90;1438;1.0
16;"Die Tierschutzpartei";90;781;0.6
