"Legislaturperiode";"Kandidat";"Partei";"Wahlkreis";"Stimmen";"Stimmenprozent"
17;3327;"SPD";85;25520;18.16
17;1582;"CDU";85;29124;20.73
17;989;"DIE LINKE";85;62880;44.75
17;946;"GRÜNE";85;10495;7.47
17;1536;"FDP";85;6247;4.45
17;3264;"NPD";85;4092;2.91
17;361;"BüSo";85;1131;0.8
17;1291;"MLPD";85;398;0.28
17;3386;;85;625;0.44
17;1680;"SPD";86;20336;16.09
17;969;"CDU";86;24563;19.43
17;2263;"DIE LINKE";86;60236;47.65
17;3534;"GRÜNE";86;7242;5.73
17;951;"FDP";86;6969;5.51
17;3417;"NPD";86;4725;3.74
17;3196;"BüSo";86;1564;1.24
17;134;;86;766;0.61
17;836;"SPD";87;24028;18.41
17;3194;"CDU";87;22566;17.29
17;1855;"DIE LINKE";87;61874;47.42
17;590;"GRÜNE";87;9652;7.4
17;605;"FDP";87;5048;3.87
17;3193;"NPD";87;4492;3.44
17;1813;"BüSo";87;1384;1.06
17;2970;;87;1439;1.1
17;2747;"SPD";88;38523;29.95
17;1124;"CDU";88;50703;39.42
17;2123;"FDP";88;11554;8.98
17;1872;"GRÜNE";88;17241;13.4
17;1281;"DIE LINKE";88;9520;7.4
17;1040;"NPD";88;1088;0.85
17;2289;"SPD";89;54205;34.3
17;301;"CDU";89;63511;40.18
17;2544;"FDP";89;13275;8.4
17;1143;"GRÜNE";89;11056;7
17;2106;"DIE LINKE";89;13502;8.54
17;1683;"NPD";89;2501;1.58
17;2995;"SPD";90;31111;24.05
17;460;"CDU";90;65143;50.36
17;2406;"FDP";90;12342;9.54
17;1333;"GRÜNE";90;8933;6.91
17;788;"DIE LINKE";90;9859;7.62
17;973;"NPD";90;1964;1.52
17;2196;"SPD";91;43655;30.83
17;2405;"CDU";91;65662;46.37
17;1734;"FDP";91;10745;7.59
17;1635;"GRÜNE";91;8956;6.32
17;3239;"DIE LINKE";91;10079;7.12
17;1029;"NPD";91;2514;1.78
17;753;"SPD";92;63487;35.78
17;3555;"CDU";92;69845;39.36
17;576;"FDP";92;18620;10.49
17;280;"GRÜNE";92;11195;6.31
17;466;"DIE LINKE";92;11215;6.32
17;2464;"NPD";92;2620;1.48
17;1949;;92;458;0.26
17;1667;"SPD";93;50035;28.98
17;2927;"CDU";93;75290;43.61
17;2080;"FDP";93;20620;11.94
17;1641;"GRÜNE";93;12239;7.09
17;1097;"DIE LINKE";93;11679;6.76
17;2570;"NPD";93;2321;1.34
17;2759;;93;464;0.27
17;524;"SPD";94;43837;34.99
17;1099;"CDU";94;42094;33.6
17;3251;"FDP";94;10902;8.7
17;1843;"GRÜNE";94;15557;12.42
17;1570;"DIE LINKE";94;10614;8.47
17;778;"NPD";94;1971;1.57
17;493;;94;318;0.25
17;21;"SPD";95;55471;32.4
17;2264;"CDU";95;59710;34.87
17;1256;"FDP";95;18455;10.78
17;138;"GRÜNE";95;26614;15.54
17;225;"DIE LINKE";95;9550;5.58
17;1767;"NPD";95;1131;0.66
17;2904;"MLPD";95;281;0.16
17;2142;"SPD";96;47625;35.91
17;3214;"CDU";96;38093;28.72
17;1254;"FDP";96;11187;8.43
17;2117;"GRÜNE";96;22550;17
17;1854;"DIE LINKE";96;11390;8.59
17;233;"NPD";96;1788;1.35
17;1418;"SPD";97;55251;33.35
17;601;"CDU";97;51674;31.19
17;3409;"FDP";97;31606;19.08
17;525;"GRÜNE";97;16856;10.17
17;2638;"DIE LINKE";97;8381;5.06
17;1403;"NPD";97;1211;0.73
17;1400;"BüSo";97;251;0.15
17;1599;"DIE VIOLETTEN";97;446;0.27
17;3144;"SPD";98;42568;25.83
17;3451;"CDU";98;73959;44.87
17;201;"FDP";98;18727;11.36
