Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Arno";"Dick";"SPD";1962;487;M
;"Veronika";"Dicke";"SPD";1967;488;W
"Dr.";"Charlotte";"Didlap";;1965;489;W
;"Jens";"Diebler";"FAMILIE";1966;490;M
;"Gudrun";"Diebold";"ödp";1956;491;W
;"Jan";"Dieckmann";;1980;492;M
;"Mali";"Dieckmann";;1984;493;W
;"Sandro";"Dierbeck";"FDP";1975;494;M
;"Norman";"Dießner";"GRÜNE";1971;495;M
;"Edeltraud";"Dietert";;1953;496;W
;"Klaus";"Dietrich";"NPD";1936;497;M
;"Matthias";"Dietrich";"ödp";1971;498;M
;"Rolf";"Dietrich";"NPD";1944;499;M
