Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Andy";"Knape";"NPD";1986;1500;M
;"Adolf";"Knapp";"DIE LINKE";1952;1501;M
;"Martin";"Knauber";"FDP";1963;1502;M
;"Detlef";"Knauer";"GRÜNE";1958;1503;M
;"Daniel";"Knebel";"NPD";1984;1504;M
;"Peter Erich";"Knitsch";"GRÜNE";1960;1505;M
;"Matthias";"Knoche";"GRÜNE";1961;1506;M
;"Monika";"Knoche";"DIE LINKE";1954;1507;W
;"Rolf Bernhard";"Knocke";"DIE LINKE";1953;1508;M
;"Sieglinde";"Knöchner";"DIE LINKE";1953;1509;W
;"Axel";"Knoerig";"CDU";1967;1510;M
"Dr.";"Per";"Knöß";"FDP";1977;1511;M
;"Carmen";"Knollmann";"CDU";1956;1512;W
"Dr.";"Lutz";"Knopek";"FDP";1958;1513;M
;"Thorsten";"Knott";"FDP";1974;1514;M
;"Frank";"Knuffke";"NPD";1965;1515;M
;"Gerd";"Kobe";"REP";1948;1516;M
;"Pascal";"Kober";"FDP";1971;1517;M
;"Christian";"Koch";"PIRATEN";1971;1518;M
;"Harald";"Koch";"DIE LINKE";1954;1519;M
;"Helga";"Koch";"SPD";1956;1520;W
;"Torsten";"Koch";"GRÜNE";1967;1521;M
;"Ute Maria Christine";"Koczy";"GRÜNE";1961;1522;W
;"Heiko";"Köhler";"NPD";1974;1523;M
"Dr.";"Kristina";"Köhler";"CDU";1977;1524;W
;"Renate Erna";"Köhler";"DVU";1938;1525;W
;"Ulrich-Günther";"Koehler";"FDP";1954;1526;M
;"Werner";"Köhler";"GRÜNE";1955;1527;M
;"Annette";"Köhn";;1976;1528;W
;"Christian";"Kölle";"MLPD";1952;1529;M
;"Marion Monika Ingrid";"Köllner";"DIE LINKE";1952;1530;W
;"Werner";"Köllner";"DKP";1954;1531;M
;"Josef";"König";"FDP";1966;1532;M
;"Roland";"König";"FDP";1966;1533;M
;"Ulrich";"König";"PIRATEN";1981;1534;M
;"Thomas";"Koenigs";"GRÜNE";1944;1535;M
;"Hellmut Georg Richard";"Königshaus";"FDP";1950;1536;M
;"Wolf-Dieter";"Könnecke";;1966;1537;M
;"Christian";"Köpp";"GRÜNE";1986;1538;M
;"Daniel";"Köppen";"BüSo";1984;1539;M
;"Jens";"Koeppen";"CDU";1962;1540;M
;"Sebastian";"Körber";"FDP";1980;1541;M
;"Julia";"Koerlin";"SPD";1954;1542;W
;"Georg";"Körndl";"BüSo";1958;1543;M
;"Frank";"Körner";"NPD";1962;1544;M
;"Steve";"Körner";"PBC";1979;1545;M
;"Fritz Rudolf";"Körper";"SPD";1954;1546;M
;"Anton";"Köschinger";"DVU";1961;1547;M
;"Hamiyet";"Köse";"DIE LINKE";1960;1548;W
;"Michael";"Koesling";"FAMILIE";1976;1549;M
;"Stefan";"Köster";"NPD";1973;1550;M
;"Hans Henning";"Köster-Sollwedel";"DIE LINKE";1949;1551;M
;"Andrea";"Kötter";"SPD";1964;1552;W
;"Anja";"Kofbinger";"GRÜNE";1960;1553;W
"Dr.";"Bärbel";"Kofler";"SPD";1967;1554;W
;"Hauke";"Koglin";"NPD";1988;1555;M
;"Horst";"Kohl";"PBC";1944;1556;M
;"Hans August";"Kohle";"CDU";1935;1557;M
;"Sascha";"Kohlmann";"CDU";1975;1558;M
;"Manuela";"Kokott";"NPD";1968;1559;W
;"Mirco";"Kolarczik";"DIE LINKE";1984;1560;M
;"Christian";"Kolb";"GRÜNE";1966;1561;M
"Dr.";"Heinrich Leonhard";"Kolb";"FDP";1956;1562;M
;"Michael";"Kolb";"CDU";1974;1563;M
;"Anja";"Kolbe";"FDP";1980;1564;W
;"Daniela";"Kolbe";"SPD";1980;1565;W
;"Manfred Lothar";"Kolbe";"CDU";1953;1566;M
;"Alexander Ludwig";"Kolbeck";"FAMILIE";1965;1567;M
;"Dagmar Marie";"Kolkmann-Lutz";"MLPD";1953;1568;W
;"Ingo";"Kolmorgen";"GRÜNE";1972;1569;M
;"Cindy";"Kolter";"DIE LINKE";1973;1570;W
"Dr.";"Fred";"Konrad";"GRÜNE";1961;1571;M
;"Torsten";"Koplin";"DIE LINKE";1962;1572;M
;"Gudrun";"Kopp";"FDP";1950;1573;W
;"Walter Ernst Wolfgang";"Koppe";"DIE LINKE";1957;1574;M
;"Jürgen";"Koppelin";"FDP";1945;1575;M
;"Eva";"Korcian";"BP";1990;1576;W
;"Henrik";"Kordes";"MLPD";1948;1577;M
;"Patrick Alexander";"Korfmann";"REP";1980;1578;M
;"Ina";"Korntreff";"MLPD";1967;1579;W
;"Stefanie";"Korntreff";"MLPD";1986;1580;W
;"Jan";"Korte";"DIE LINKE";1977;1581;M
"Prof. Dr.";"Niels";"Korte";"CDU";1969;1582;M
;"Karin";"Kortmann";"SPD";1959;1583;W
;"Dietmar";"Koschmieder";"DKP";1955;1584;M
"Dr.";"Rolf";"Koschorrek";"CDU";1956;1585;M
;"Hartmut";"Koschyk";"CSU";1959;1586;M
;"Margot";"Kosmanek";"CDU";1933;1587;W
;"Heiko";"Kosow";"GRÜNE";1947;1588;M
;"Thoralf";"Koß";"GRÜNE";1964;1589;M
"Dr.";"Volker";"Koß";"GRÜNE";1949;1590;M
;"Philip";"Kossack";"GRÜNE";1989;1591;M
;"Thomas";"Kossendey";"CDU";1948;1592;M
;"Sylvia";"Kotting-Uhl";"GRÜNE";1952;1593;W
;"Emanuel";"Kotzian";"PIRATEN";1972;1594;M
;"Kordula";"Kovac";"CDU";1957;1595;W
;"Stephan-Gerhard";"Koziolek";"DIE LINKE";1968;1596;M
;"Stefan";"Krabbes";"GRÜNE";1987;1597;M
;"Martin";"Krämer";"NPD";1986;1598;M
;"Ulrike";"Kraemer-Schwinn";"DIE VIOLETTEN";1956;1599;W
;"Ursula";"Kraft";"CDU";1953;1600;W
;"Volker";"Kraft";"MLPD";1953;1601;M
;"Günter";"Krafzik";"PBC";1934;1602;M
;"Benjamin Manuel";"Kramer";"FDP";1978;1603;M
;"Klaus-Dieter";"Kramer";;1944;1604;M
;"Rolf";"Kramer";"SPD";1949;1605;M
;"Erich";"Krames";"NPD";1934;1606;M
;"Anette";"Kramme";"SPD";1967;1607;W
;"Ernst";"Kranz";"SPD";1950;1608;M
;"Matthias";"Kraume";"BüSo";1982;1609;M
;"Brian";"Krause";"GRÜNE";1972;1610;M
"Dr.";"Dietrich-Eckard";"Krause";"FDP";1941;1611;M
;"Hendrik";"Krause";"PIRATEN";1987;1612;M
;"Johannes";"Krause";"SPD";1958;1613;M
;"Ludwig";"Krause";"CM";1938;1614;M
;"Rainer Eckehard";"Krause";"FDP";1946;1615;M
;"Steffen";"Krause";"DVU";1976;1616;M
;"Arthur Wolfram";"Krauß";;1947;1617;M
;"Reiner";"Krauß";"PBC";1950;1618;M
;"Tanja";"Krauth";"DIE LINKE";1968;1619;W
;"Jörg";"Krebs";"NPD";1975;1620;M
;"Matthias";"Kreh";"SPD";1980;1621;M
;"Alexander F.";"Kreidemann";"NPD";1959;1622;M
;"Horst";"Kreil";"BüSo";1938;1623;M
;"Andreas";"Krell";"ödp";1955;1624;M
;"Jutta";"Krellmann";"DIE LINKE";1956;1625;W
;"Marc-Benedict";"Kremer";"NPD";1973;1626;M
;"Nicolette";"Kressl";"SPD";1958;1627;W
;"Holger";"Krestel";"FDP";1955;1628;M
;"Michael";"Kretschmer";"CDU";1975;1629;M
;"Gunter";"Kretzschmann";"NPD";1951;1630;M
;"Gunther";"Krichbaum";"CDU";1964;1631;M
;"Hermann-Josef";"Krichel-Mäurer";"SPD";1962;1632;M
;"Frank Hartmut";"Krien";"NPD";1956;1633;M
"Dr.";"Günter";"Krings";"CDU";1969;1634;M
;"Oliver";"Krischer";"GRÜNE";1969;1635;M
;"Stefan";"Krix";"ödp";1966;1636;M
;"Walter";"Krögner";"SPD";1963;1637;M
;"Manfred";"Krönauer";"FDP";1974;1638;M
"Dr.";"Martina";"Krogmann";"CDU";1964;1639;W
;"Daniela";"Kroll";"FWD";1971;1640;W
;"Dorothee";"Kroll";"GRÜNE";1955;1641;W
;"Kilian";"Kronimus";"ödp";1965;1642;M
;"Katarzyna Dorota";"Kruczkowski";"BüSo";1979;1643;W
"Dr.";"Hans-Ulrich";"Krüger";"SPD";1952;1644;M
;"Jürgen";"Krüger";"REP";1964;1645;M
;"Lasse";"Krüger";"NPD";1989;1646;M
;"Mario";"Krüger";"PBC";1970;1647;M
;"Angelika";"Krüger-Leißner";"SPD";1951;1648;W
;"Daniel";"Krug";"NPD";1981;1649;M
"Dr.";"Michael";"Krug";"FDP";1960;1650;M
;"Alois";"Krumbachner";"BüSo";1953;1651;M
;"Agnes";"Krumwiede";"GRÜNE";1977;1652;W
;"Holger Karsten";"Krupp";"FDP";1982;1653;M
;"Michael";"Kruse";"PIRATEN";1985;1654;M
;"Rüdiger";"Kruse";"CDU";1961;1655;M
;"Stefan";"Krutten";"SPD";1960;1656;M
;"Walter";"Kubach";"DIE LINKE";1955;1657;M
;"Klaus";"Kubacki";"DKP";1936;1658;M
;"Stefan";"Kubat";"FDP";1974;1659;M
;"Christian";"Kubisch";"PIRATEN";1974;1660;M
;"Jürgen";"Kucharczyk";"SPD";1957;1661;M
;"Hartwin";"Kuchler";"BP";1945;1662;M
;"Hans-Werner";"Kuchta";"PBC";1954;1663;M
;"Bettina Irene";"Kudla";"CDU";1962;1664;W
;"Thurid";"Küber";"SPD";1980;1665;W
;"Stephan";"Kühn";"GRÜNE";1979;1666;M
;"Helga";"Kühn-Mengel";"SPD";1947;1667;W
;"Steffen";"Kühne";"DIE LINKE";1981;1668;M
;"Hans-Gerd Lutz";"Kühnel";"MLPD";1953;1669;M
;"Marcus";"Kührt";"BüSo";1983;1670;M
;"Heinz Hans Hermann";"Kühsel";"DIE LINKE";1949;1671;M
;"Renate";"Künast";"GRÜNE";1955;1672;W
;"Jutta Maria Irene";"Künstle";"PBC";1939;1673;W
"Dr.";"Hermann";"Kues";"CDU";1949;1674;M
;"Jörg-Friedrich";"Küster";"DIE LINKE";1964;1675;M
;"Max";"Kuhlmann";"DIE VIOLETTEN";1985;1676;M
"Dr.";"Arnd";"Kuhn";"GRÜNE";1957;1677;M
;"Fritz";"Kuhn";"GRÜNE";1955;1678;M
;"Klaus Dieter Kurt";"Kuhn";"DVU";1955;1679;M
;"Rudolf";"Kujath";"SPD";1942;1680;M
;"Ute";"Kumpf";"SPD";1947;1681;W
;"Katrin";"Kunert";"DIE LINKE";1964;1682;W
;"Willibert";"Kunkel";"NPD";1950;1683;M
;"Cornelia";"Kunkis-Becker";"GRÜNE";1960;1684;W
;"Ernst Jakob";"Kuntz";"DIE LINKE";1949;1685;M
;"Christian";"Kunz";"DIE LINKE";1978;1686;M
;"Viktor";"Kunz";;1979;1687;M
;"Bayram";"Kurnaz";;1969;1688;M
;"Günter";"Kursawe";"NPD";1959;1689;M
;"Wolfgang Wilhelm";"Kurtenbach";"RRP";1940;1690;M
;"Markus";"Kurth";"GRÜNE";1966;1691;M
;"Patrick";"Kurth";"FDP";1976;1692;M
;"Undine";"Kurth";"GRÜNE";1951;1693;W
;"Matthias";"Kurz";"PIRATEN";1984;1694;M
;"Dietmar";"Kuschke";"DIE LINKE";1967;1695;M
;"Monika";"Kuske";"MLPD";1957;1696;W
;"Rolf";"Kutzmutz";"DIE LINKE";1947;1697;M
;"Benedikt";"Laame";"FDP";1984;1698;M
;"Sebastian";"Laaser";"SPD";1981;1699;M
;"Claire";"Labigne";"GRÜNE";1950;1700;W
;"Christa";"Labouvie";"GRÜNE";1956;1701;W
;"Carsten";"Labudda";"DIE LINKE";1975;1702;M
;"Günter";"Lach";"CDU";1954;1703;M
;"Daniel";"Lachmann";"NPD";1980;1704;M
;"Peter Christian Harri";"Lachmann";"RRP";1941;1705;M
;"Richard";"Ladewig";"FDP";1966;1706;M
;"Andreas Gottfried";"Lämmel";"CDU";1959;1707;M
;"Uwe";"Lämmel";"GRÜNE";1959;1708;M
;"Rosemarie";"Lämmer";"REP";1954;1709;W
;"Jean Dominique";"Länge";"ödp";1974;1710;M
;"Mike";"Lätzsch";"DIE LINKE";1967;1711;M
;"Oskar";"Lafontaine";"DIE LINKE";1943;1712;M
;"Erhard";"Lahni";"FAMILIE";1965;1713;M
;"Christine";"Lambrecht";"SPD";1965;1714;W
"Dr.";"Karl";"Lamers";"CDU";1951;1715;M
"Prof. Dr.";"Norbert";"Lammert";"CDU";1948;1716;M
;"Hans";"Lampl";"RRP";1941;1717;M
;"Monika";"Lamprecht";;1946;1718;W
;"Stefan";"Lanari";"DIE LINKE";1959;1719;M
"Dr.";"Peter";"Landauer";;1951;1720;M
;"Barbara Katharina";"Landgraf";"CDU";1954;1721;W
;"Heinz";"Lanfermann";"FDP";1950;1722;M
;"Peter";"Lang";"ADM";1940;1723;M
;"Rudolf";"Lang";"ödp";1953;1724;M
;"Jürgen";"Langanki";"REP";1972;1725;M
;"Christian";"Lange";"SPD";1964;1726;M
;"Cornelia";"Lange";"CDU";1959;1727;W
;"Hans-Jürgen";"Lange";;1936;1728;M
;"Helmut Walter Wolfgang";"Lange";"MLPD";1952;1729;M
;"Robert";"Lange";"PIRATEN";1980;1730;M
;"Ulrich";"Lange";"CSU";1969;1731;M
;"Volker Rainer Hartmut";"Lange";"SPD";1967;1732;M
;"Wanja Max";"Lange";"MLPD";1987;1733;M
;"Jörn";"Langefeld";"FDP";1964;1734;M
;"Doreen";"Langen";"NPD";1979;1735;W
;"Heidemarie Regine Elke (Heidi)";"Langensiepen";"FDP";1944;1736;W
;"Michael";"Langer";"REP";1962;1737;M
"Dr.";"Vera Isabella";"Langer";"FDP";1978;1738;W
;"Iris";"Langguth";"GRÜNE";1959;1739;W
;"Rita";"Lanius-Heck";"CDU";1959;1740;W
;"Barbara Maria";"Lanzinger";"CSU";1954;1741;W
"Dr.";"Jürgen Hans";"Lapsien";"ödp";1957;1742;M
"Dr.";"Hartmut";"Lardon";"FDP";1953;1743;M
;"Thomas";"Laubel";"PIRATEN";1978;1744;M
;"Paul";"Lauer";"FDP";1957;1745;M
;"Dieter";"Lauinger";"GRÜNE";1962;1746;M
;"Dennis";"Laurisch";"PIRATEN";1978;1747;M
;"Mario Michael";"Laurischk";"CDU";1975;1748;M
;"Sibylle";"Laurischk";"FDP";1954;1749;W
"Dr.";"Conrad";"Lausberg";"ödp";1959;1750;M
;"Brigitte Renate";"Lauterbach";"NPD";1934;1751;W
"Prof. Dr.";"Karl";"Lauterbach";"SPD";1963;1752;M
;"Claudia Marianne";"Laux";"GRÜNE";1966;1753;W
;"Caren Nicole";"Lay";"DIE LINKE";1972;1754;W
;"Monika";"Lazar";"GRÜNE";1967;1755;W
;"Tim";"Leber";"FAMILIE";1966;1756;M
;"Josef";"Lebmeier";"BüSo";1963;1757;M
;"Sebastian";"Lechner";"CDU";1980;1758;M
;"Thomas Gerhard";"Lechner";"FAMILIE";1966;1759;M
;"Ulrich Werner Maria";"Lechte";"FDP";1977;1760;M
"Dr.";"Klaus";"Lederer";"DIE LINKE";1974;1761;M
;"Felix Paul Edgar";"Lederle";"DIE LINKE";1975;1762;M
;"Bernhard";"Lehle";"GRÜNE";1963;1763;M
;"Klaus";"Lehmann";"ödp";1935;1764;M
;"Uwe";"Lehmann";;1959;1765;M
"Dr.";"Max";"Lehmer";"CSU";1946;1766;M
;"Erwine";"Lehming";"NPD";1928;1767;W
;"Aloys";"Lehmler";"NPD";1951;1768;M
"Dr.";"Kurt";"Lehner";"FDP";1967;1769;M
;"Ruben";"Lehnert";"DIE LINKE";1978;1770;M
;"Sebastian";"Lehrberger";"Freie Union";1955;1771;M
;"Paul";"Lehrieder";"CSU";1959;1772;M
;"Harald";"Leibrecht";"FDP";1961;1773;M
;"Sabine";"Leidig";"DIE LINKE";1961;1774;W
;"Markus";"Leidinger";"SPD";1984;1775;M
"Prof. Dr.";"Felix";"Leinen";"ödp";1957;1776;M
;"Andreas";"Lelke";"BüSo";1980;1777;M
;"Helmut";"Lemke";"RENTNER";1942;1778;M
;"Michael";"Lemm";"DIE LINKE";1975;1779;M
;"Steffen-Claudio";"Lemme";"SPD";1965;1780;M
;"Siegfried";"Lemmermeier";;1955;1781;M
"Dr.";"Hans-Volkhard";"Lempp";"CSU";1964;1782;M
;"Tammo";"Lenger";"GRÜNE";1974;1783;M
;"Peter";"Lengert";"DIE LINKE";1957;1784;M
;"Vera";"Lengsfeld";"CDU";1952;1785;W
;"Sebastian";"Lenk";"CDU";1982;1786;M
;"Ralph";"Lenkert";"DIE LINKE";1967;1787;M
;"Jürgen";"Lenz";;1960;1788;M
;"Ingrid";"Lenz-Aktas";"SPD";1961;1789;W
"Dr.";"Elke";"Leonhard";"SPD";1949;1790;W
;"Gino";"Leonhard";"FDP";1972;1791;M
;"Sabine";"Leopold";"MLPD";1958;1792;W
;"Helga";"Lerch";"FDP";1955;1793;W
;"Maximilian";"Leucht";"FDP";1979;1794;M
;"Bernhard";"Leusmann";"ADM";1935;1795;M
;"Michael Gerhard";"Leutert";"DIE LINKE";1974;1796;M
;"Sabine";"Leutheusser-Schnarrenberger";"FDP";1951;1797;W
;"Christopher";"Lewis";"BüSo";1945;1798;M
"Dr.";"Ursula";"Leyen von der";"CDU";1958;1799;W
;"Rainer";"Leyendecker";;1956;1800;M
;"Robert";"Lieb";"REP";1963;1801;M
;"Maria";"Liebeck";"CDU";1957;1802;W
;"Marc";"Liebehenz";"FDP";1977;1803;M
;"Fritz";"Liebenow";"NPD";1949;1804;M
;"Werner Hans";"Liebhart";"FDP";1963;1805;M
;"Stefan";"Liebich";"DIE LINKE";1972;1806;M
;"Ingbert";"Liebing";"CDU";1963;1807;M
;"Hans Dieter";"Liederwald";"DVU";1964;1808;M
;"Ulrike";"Liedy";"FAMILIE";1960;1809;W
;"Lore";"Lierse";"NPD";1955;1810;W
;"Matthias";"Lietz";"CDU";1953;1811;M
;"Ulrike";"Lillge";"BüSo";1950;1812;W
"Dr.";"Wolfgang";"Lillge";"BüSo";1950;1813;M
;"Kai";"Limmer";"NPD";1978;1814;M
;"Hendrik";"Lindemann";"FDP";1964;1815;M
;"Lars Friedrich";"Lindemann";"FDP";1971;1816;M
;"Thomas";"Lindemann";"NPD";1980;1817;M
;"Hans";"Linden";"Volksabstimmung";1936;1818;M
;"Andrea";"Lindholz";"CSU";1970;1819;W
;"Manuel";"Lindlar";"DIE LINKE";1988;1820;M
;"Andrea";"Lindlohr";"GRÜNE";1975;1821;W
;"Christian";"Lindner";"FDP";1979;1822;M
;"Dietmar";"Lindner";"FAMILIE";1945;1823;M
"Dr.";"Martin";"Lindner";"FDP";1964;1824;M
;"Tobias";"Lindner";"GRÜNE";1982;1825;M
"Dr.";"Hildegard";"Lingnau";"GRÜNE";1964;1826;W
;"Heinz Werner";"Link";"BP";1957;1827;M
"Dr.";"Manfred";"Link";"RRP";1941;1828;M
;"Michael Georg";"Link";"FDP";1963;1829;M
;"Peter Wigbert";"Link";"CDU";1963;1830;M
"Dr.";"Marianne Monika";"Linke";"DIE LINKE";1945;1831;W
"Dr.";"Carsten";"Linnemann";"CDU";1977;1832;M
;"Julia";"Linse";"CDU";1982;1833;W
;"Patricia";"Lips";"CDU";1963;1834;W
;"Burkhard";"Lischka";"SPD";1965;1835;M
;"Simon";"Lissner";"GRÜNE";1958;1836;M
;"Uwe";"Litfin";"FWD";1958;1837;M
;"Sven";"Lobeck";"NPD";1976;1838;M
;"Ingeborg Anna";"Lobocki";"DVU";1946;1839;W
;"Wolfgang";"Loch";"RRP";1964;1840;M
;"Klemens";"Lockfisch";"NPD";1961;1841;M
;"Alfred";"Loeber";"RENTNER";1944;1842;M
;"Max";"Löffler";"GRÜNE";1988;1843;M
;"Oskar";"Löffler";;1960;1844;M
;"Christoph";"Löhr";"PIRATEN";1983;1845;M
;"Marlene";"Löhr";"GRÜNE";1985;1846;W
;"Markus Michael Maria";"Löning";"FDP";1960;1847;M
;"Johannes";"Loepelmann";"PIRATEN";1987;1848;M
;"Norbert";"Loeper";"RRP";1953;1849;M
;"Bernhard Paul";"Lörch";"ödp";1946;1850;M
;"Wolfgang";"Lörcher";"DIE LINKE";1963;1851;M
;"Rudolf";"Lörcks";"PIRATEN";1964;1852;M
;"Gabriele";"Lösekrug-Möller";"SPD";1951;1853;W
;"Ursula Cornelia";"Lötzer";"DIE LINKE";1950;1854;W
"Dr.";"Gesine";"Lötzsch";"DIE LINKE";1961;1855;W
;"Klaus";"Lohfing-Blanke";;1958;1856;M
;"Dorothee";"Lohmann";"MLPD";1942;1857;W
;"Roland";"Lohmeier";"RRP";1945;1858;M
;"Johannes Hubertus";"Lohmeyer";"FDP";1964;1859;M
;"Mario";"Look";"ödp";1964;1860;M
;"Stefan";"Lorent";"DIE LINKE";1961;1861;M
;"Bernd Gerhard";"Lorenz";"NPD";1970;1862;M
;"Gertrud";"Lorenz";"CDU";1926;1863;W
;"Joseph";"Lorenz";"REP";1941;1864;M
;"Kathrin";"Lorenz";"CDU";1969;1865;W
;"Kurt-Heinz";"Lorsbach";"REP";1958;1866;M
"Dr.";"Erwin Georg";"Lotter";"FDP";1951;1867;M
;"Hiltrud";"Lotze";"SPD";1958;1868;W
;"Klaus";"Louis";"NPD";1959;1869;M
;"Gert";"Lowack";"GRÜNE";1971;1870;M
"Dr.";"Jan-Marco";"Luczak";"CDU";1975;1871;M
;"Jochen";"Luczak";"GRÜNE";1950;1872;M
;"Gottfried";"Ludewig";"CDU";1982;1873;M
;"Felix-Anton";"Ludosan";"FAMILIE";1969;1874;M
;"Arne";"Ludwig";"PIRATEN";1968;1875;M
;"Lars";"Lübbe";"CDU";1986;1876;M
;"Andreas";"Lück";"FDP";1961;1877;M
;"Karl Heinz";"Lüder";;1943;1878;M
;"Kirsten";"Lühmann";"SPD";1964;1879;W
;"Jens";"Lütke";"NPD";1978;1880;M
;"David";"Lukaßen";"GRÜNE";1981;1881;M
;"Oliver";"Lukner";"FDP";1970;1882;M
;"Oliver";"Luksic";"FDP";1979;1883;M
;"Manfred";"Lurz";"DIE LINKE";1945;1884;M
"Dr.";"Michael Andreas";"Luther";"CDU";1956;1885;M
;"Hans-Jürgen";"Lutz";"Die Tierschutzpartei";1948;1886;M
;"Janet";"Lutz";"GRÜNE";1970;1887;W
;"Thomas";"Lutze";"DIE LINKE";1969;1888;M
;"Benedikt";"Lux";"GRÜNE";1981;1889;M
;"Josefa";"Lux";"SPD";1958;1890;W
;"Stefan";"Lux";"NPD";1959;1891;M
;"Karin";"Maag";"CDU";1962;1892;W
;"Herbert";"Maar";"RRP";1946;1893;M
;"Jens";"Maaß";"Die Tierschutzpartei";1975;1894;M
;"Simone";"Maaß";"GRÜNE";1967;1895;W
;"Bärbel Heike";"Macamo";;1961;1896;W
;"Wolfgang";"MacGregor";"DIE LINKE";1944;1897;M
;"Andrea";"Machleid";"NPD";1960;1898;W
;"Karin";"Machner";"NPD";1940;1899;W
;"Robert";"Macholdt";"PIRATEN";1981;1900;M
"Dr.";"Christian Hermann";"Machon";"CSU";1974;1901;M
;"Hermann";"Mack";"REP";1953;1902;M
"Dr.";"Roland";"Mackert";;1951;1903;M
;"Wolfgang";"Mädel";"SPD";1950;1904;M
;"Eric";"Mäncher";"SPD";1965;1905;M
;"David";"Mändlen";"PIRATEN";1988;1906;M
;"Thomas";"Mahlberg";"CDU";1965;1907;M
;"Franz-Josef";"Mai";"ödp";1943;1908;M
;"Susann";"Mai";"ödp";1967;1909;W
;"Edeltraud";"Maier";"ödp";1938;1910;W
;"Franz";"Maier";"BüSo";1963;1911;M
;"Norbert";"Maier";"CDU";1970;1912;M
;"Sascha Andre";"Maier";"NPD";1984;1913;M
;"Bejamin";"Mair";"BP";1983;1914;M
;"Katrin";"Mair";"CSU";1981;1915;W
;"Nicole";"Maisch";"GRÜNE";1981;1916;W
"Dr.";"Karl Ernst Thomas";"Maizière de";"CDU";1954;1917;M
;"Thorsten";"Majer";"SPD";1978;1918;M
;"Eva";"Majewski";"CDU";1985;1919;W
;"Lydia";"Makhloufi";"BüSo";1973;1920;W
;"Agnes";"Malczak";"GRÜNE";1985;1921;W
"Dr.";"Birgit";"Malecha-Nissen";"SPD";1958;1922;W
;"Hans-Jürgen";"Malirs";"FWD";1945;1923;M
;"Anton";"Maller";"BP";1957;1924;M
;"Roger";"Mallmenn";"DIE LINKE";1976;1925;M
;"Siegfried Heinrich Eduard";"Malsch";"RRP";1937;1926;M
"Prof.";"Bodo";"Manegold";"CDU";1948;1927;M
;"Ulrich";"Manes";"REP";1946;1928;M
;"Michael";"Mang";"SPD";1981;1929;M
;"Sylvia";"Mang";"DIE LINKE";1951;1930;W
;"Maria-Barbara";"Mangold-Nietzschmann";;1944;1931;W
;"Manuel";"Mann";"NPD";1979;1932;M
;"Marco Gérard";"Mantovanelli";"GRÜNE";1965;1933;M
;"Nicolas";"Mantseris";"GRÜNE";1970;1934;M
;"Josef";"Manz";"CDU";1932;1935;M
;"Dirk";"Manzewski";"SPD";1960;1936;M
;"Margitta";"Marcian";"Die Tierschutzpartei";1946;1937;W
;"André";"Markau";"NPD";1964;1938;M
;"Hans Christian";"Markert";"GRÜNE";1968;1939;M
;"Alfred";"Market";"REP";1953;1940;M
;"Steffen";"Marklein";"GRÜNE";1961;1941;M
;"Caren";"Marks";"SPD";1963;1942;W
;"Yvonne";"Marmann";"CDU";1976;1943;W
;"Ralf";"Marohn";"FDP";1967;1944;M
;"Rainer";"Marschall";"NPD";1953;1945;M
;"Frank";"Marschner";"NPD";1957;1946;M
;"Anke";"Martens";"NPD";1954;1947;W
;"Axel";"Martin";"PIRATEN";1983;1948;M
;"Günter";"Martin";;1954;1949;M
;"Paula";"Martin";"PBC";1938;1950;W
;"Richard";"Martin";"PBC";1933;1951;M
;"Guido";"Martini";"RRP";1973;1952;M
;"Hans-Robert";"Martini";"RRP";1944;1953;M
;"Thomas";"Marwein";"GRÜNE";1958;1954;M
;"Hans-Georg";"Marwitz von der";"CDU";1961;1955;M
;"Peter";"Marx";"NPD";1956;1956;M
;"Reinhard Helmut Anton";"Maßberg";"BüSo";1947;1957;M
;"Norbert";"Maßon";"DIE LINKE";1957;1958;M
;"Katja";"Mast";"SPD";1971;1959;W
"Dr.";"Willi Alfred";"Mast";"MLPD";1947;1960;M
;"Ralf";"Matheis";;1969;1961;M
;"Gert";"Mathiesen";"DIE VIOLETTEN";1938;1962;M
;"Danny";"Matschke";"NPD";1975;1963;M
;"Andreas";"Mattfeldt";"CDU";1969;1964;M
;"Hildegard";"Mattheis";"SPD";1954;1965;W
;"Marcella";"Matthes";"FDP";1983;1966;W
;"Detlef";"Matthiessen";"GRÜNE";1954;1967;M
;"Günter";"Matthiessen";"DIE LINKE";1947;1968;M
;"Dietmar Friedrich Heinz Gerd";"Mattiat";"DIE LINKE";1946;1969;M
;"Alexandre";"Maturana";"FDP";1987;1970;M
;"Gerwin";"Matysiak";"SPD";1953;1971;M
;"Frank Thomas";"Maul";"REP";1964;1972;M
;"Ulrich";"Maurer";"DIE LINKE";1948;1973;M
;"Michael Hans";"May";"MLPD";1949;1974;M
"Dr.";"Oliver Matthias Werner";"May";"FDP";1967;1975;M
;"Bernhard";"Mayer";"ödp";1977;1976;M
;"Dieter";"Mayer";"SPD";1938;1977;M
;"Erna";"Mayer";"Die Tierschutzpartei";1947;1978;W
;"Johann";"Mayer";"GRÜNE";1960;1979;M
;"Stephan Ernst Johann";"Mayer";"CSU";1973;1980;M
;"Markus";"Meckel";"SPD";1952;1981;M
;"Wolfgang";"Meckelburg";"CDU";1949;1982;M
;"Axel";"Mehldau";"PIRATEN";1959;1983;M
;"Walter Heinrich Christian";"Mehring";"RRP";1926;1984;M
